status,keyword,aliases,target_blog_url,source_static_page,max_links_per_page,notes
planned,dermatology treatments,Treatments Overview,,/treatments/,1,Add the blog URL and change status to published after the article is live.
planned,acne treatment,Acne,,/treatments/acne-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,acne scar treatment,Acne Scar,,/treatments/acne-scar-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,laser hair reduction,Laser Hair Reduction,,/treatments/laser-hair-reduction/,1,Add the blog URL and change status to published after the article is live.
planned,hair fall treatment,Hair Fall,,/treatments/hair-fall-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,skin pigmentation treatment,Pigmentation,,/treatments/pigmentation-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,melasma treatment,Melasma,,/treatments/melasma-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,fungal infection treatment,Fungal Infection,,/treatments/fungal-infection-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,skin allergy treatment,Skin Allergy,,/treatments/skin-allergy-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,PRP GFC hair treatment,PRP & GFC Hair,,/treatments/prp-gfc-hair-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,botulinum toxin and dermal fillers,Botulinum Toxin & Dermal Fillers,,/treatments/botulinum-toxin-dermal-fillers/,1,Add the blog URL and change status to published after the article is live.
planned,chemical peel,Chemical Peels,,/treatments/chemical-peels/,1,Add the blog URL and change status to published after the article is live.
planned,wart mole skin tag removal,"Wart, Mole & Skin Tag Removal",,/treatments/wart-mole-skin-tag-removal/,1,Add the blog URL and change status to published after the article is live.
planned,ingrown toenail surgery,Ingrown Toenail & Nail Surgery,,/treatments/ingrown-toenail-nail-surgery/,1,Add the blog URL and change status to published after the article is live.
planned,cyst and lipoma removal,Cyst & Lipoma Removal,,/treatments/cyst-lipoma-removal/,1,Add the blog URL and change status to published after the article is live.
planned,skin biopsy,Skin Biopsy,,/treatments/skin-biopsy/,1,Add the blog URL and change status to published after the article is live.
planned,skin abscess drainage,Skin Abscess & Incision and Drainage,,/treatments/skin-abscess-incision-drainage/,1,Add the blog URL and change status to published after the article is live.
planned,HIFU and RF skin tightening,HIFU & RF Skin Tightening,,/treatments/hifu-rf-skin-tightening/,1,Add the blog URL and change status to published after the article is live.
planned,HIFU treatment,HIFU,,/treatments/hifu-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,RF skin tightening,RF Skin Tightening,,/treatments/rf-skin-tightening/,1,Add the blog URL and change status to published after the article is live.
planned,cryolipolysis,Cryolipolysis & Body Contouring,,/treatments/cryolipolysis-body-contouring/,1,Add the blog URL and change status to published after the article is live.
planned,laser tattoo removal,Laser Tattoo Removal,,/treatments/laser-tattoo-removal/,1,Add the blog URL and change status to published after the article is live.
planned,Hydrafacial,Hydrafacial & Medifacial,,/treatments/hydrafacial-medifacial/,1,Add the blog URL and change status to published after the article is live.
planned,IPL photofacial,IPL Photofacial,,/treatments/ipl-photofacial/,1,Add the blog URL and change status to published after the article is live.
planned,MNRF treatment,MNRF,,/treatments/mnrf-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,fractional CO2 laser,Fractional CO2 Laser,,/treatments/fractional-co2-laser/,1,Add the blog URL and change status to published after the article is live.
planned,Q-switched laser,Q-Switched Laser & Laser Toning,,/treatments/q-switched-laser-toning/,1,Add the blog URL and change status to published after the article is live.
planned,hair transplant,Hair Transplant,,/treatments/hair-transplant/,1,Add the blog URL and change status to published after the article is live.
planned,DPN removal,DPN & Seborrhoeic Keratosis Removal,,/treatments/dpn-seborrheic-keratosis-removal/,1,Add the blog URL and change status to published after the article is live.
planned,paediatric dermatologist,Paediatric Dermatology,,/treatments/paediatric-dermatology/,1,Add the blog URL and change status to published after the article is live.
planned,psoriasis treatment,Psoriasis,,/treatments/psoriasis-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,rosacea treatment,Rosacea,,/treatments/rosacea-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,scabies treatment,Scabies,,/treatments/scabies-treatment/,1,Add the blog URL and change status to published after the article is live.
planned,dandruff treatment,Seborrhoeic Dermatitis & Dandruff,,/treatments/seborrheic-dermatitis-dandruff/,1,Add the blog URL and change status to published after the article is live.
planned,vitiligo treatment,Vitiligo,,/treatments/vitiligo-treatment/,1,Add the blog URL and change status to published after the article is live.
